Convergence Time,Raw Cost,Total Cost,Traffic Cost,Path,Number of Nodes,Number of Connections,Norm,Elevation_Function
0.20026588439941406,0.8224699663456903,1.2959716805943855,0.47350171424869525,"[36, 62, 43]",70,200,7.0,elevation_func_1
0.26160502433776855,0.34828476971649147,2.527775514748336,2.1794907450318446,"[40, 25, 46]",80,20,6.0,elevation_func_1
0.26293301582336426,1.7459409053950259,1.8103639854214049,0.06442308002637898,"[19, 70, 17, 10, 60]",80,40,41.0,elevation_func_1
0.24776911735534668,0.22926048425137902,0.671618156815289,0.44235767256391,"[31, 74, 68]",80,60,37.0,elevation_func_1
0.2319948673248291,0.2104593231943741,0.9238330339633682,0.7133737107689941,"[51, 40, 74]",80,80,23.0,elevation_func_1
0.2509500980377197,0.7556097607647347,2.040276658043335,1.2846668972786002,"[23, 34, 32]",80,100,9.0,elevation_func_1
0.2401130199432373,0.0,0.8223130536915368,0.8223130536915368,"[33, 58]",80,120,25.0,elevation_func_1
0.28008198738098145,0.21290034854607454,0.7483104070777802,0.5354100585317056,"[32, 26, 64]",80,140,32.0,elevation_func_1
0.22209620475769043,1.3431556210322138,1.8232011017254213,0.4800454806932075,"[18, 4, 5, 41]",80,160,23.0,elevation_func_1
0.23494195938110352,1.3443870345473652,1.3950486493221337,0.05066161477476849,"[1, 51, 57, 5]",80,180,4.0,elevation_func_1
0.21236085891723633,0.0,1.3440768825651384,1.3440768825651384,"[18, 76]",80,200,58.0,elevation_func_1
0.3073091506958008,0.0,0.7953444322010028,0.7953444322010028,"[12, 56]",90,20,44.0,elevation_func_1
0.3176870346069336,1.385386680035986,1.6143905442329576,0.2290038641969716,"[9, 11, 69, 52]",90,40,43.0,elevation_func_1
0.30203700065612793,0.8555886464541629,0.9790200244963765,0.1234313780422136,"[14, 36, 34, 69]",90,60,55.0,elevation_func_1
0.2762329578399658,1.0902657492111234,1.738417015555982,0.6481512663448585,"[6, 85, 71, 17]",90,80,11.0,elevation_func_1
0.26914191246032715,0.0,0.15922238477284245,0.15922238477284245,"[33, 58]",90,100,25.0,elevation_func_1
0.2722129821777344,0.0,2.1230815630052726,2.1230815630052726,"[45, 50]",90,120,5.0,elevation_func_1
0.28075504302978516,0.5120773424208702,1.634694569261933,1.1226172268410628,"[67, 44, 62, 70]",90,140,3.0,elevation_func_1
0.27642202377319336,0.3536272732426393,0.8541235396854108,0.5004962664427715,"[53, 79, 61]",90,160,8.0,elevation_func_1
0.2861020565032959,0.0,1.4123179544382336,1.4123179544382336,"[61, 69]",90,180,8.0,elevation_func_1
0.29752397537231445,1.227402839882937,2.0514744793952886,0.8240716395123515,"[30, 52, 48]",90,200,18.0,elevation_func_1
0.3683958053588867,0.07137834150586442,0.6813982955914466,0.6100199540855822,"[19, 65, 43]",100,20,24.0,elevation_func_1
0.35040998458862305,0.8539561164763032,1.142522686944486,0.2885665704681828,"[78, 85, 90]",100,40,12.0,elevation_func_1
0.37474608421325684,0.7701121323544102,1.0359474701999605,0.26583533784555025,"[1, 0, 51, 41, 99]",100,60,98.0,elevation_func_1
0.40116190910339355,0.12552782021326148,0.953625643659638,0.8280978234463765,"[27, 96, 37]",100,80,10.0,elevation_func_1
0.41334080696105957,0.0,1.4103820199704142,1.4103820199704142,"[68, 95]",100,100,27.0,elevation_func_1
0.42050695419311523,0.0,0.1604214679491689,0.1604214679491689,"[10, 42]",100,120,32.0,elevation_func_1
0.42106127738952637,0.4986803375369109,0.902362686574053,0.4036823490371422,"[5, 25, 6]",100,140,1.0,elevation_func_1
0.3835608959197998,1.0953245992376992,1.357493554262127,0.2621689550244277,"[7, 30, 28, 50, 26]",100,160,19.0,elevation_func_1
0.4067690372467041,1.6272343696685765,1.7014582226732922,0.07422385300471568,"[32, 52, 61]",100,180,29.0,elevation_func_1
0.3729109764099121,2.701208278540829,3.2459180444496605,0.5447097659088318,"[35, 77, 85, 76]",100,200,41.0,elevation_func_1
