Convergence Time,Raw Cost,Total Cost,Traffic Cost,Path,Number of Nodes,Number of Connections,Elevation_Function,Num_Nodes,Num_Connections
0.0026929378509521484,0.0,1.4899170633084025,1.4899170633084025,"[1, 2]",10,20,elevation_func_1,10.0,20.0
0.0029990673065185547,0.43291800285444215,1.7542704054639524,1.3213524026095103,"[5, 4, 9]",10,40,elevation_func_1,10.0,40.0
0.0036520957946777344,0.9088049464822112,3.541656703300644,2.632851756818433,"[7, 4, 9]",10,60,elevation_func_1,10.0,60.0
0.0032470226287841797,2.545160641932794,3.229603802274288,0.6844431603414936,"[0, 2, 6]",10,80,elevation_func_1,10.0,80.0
0.003789186477661133,0.652923597721301,2.2024581998034654,1.5495346020821643,"[0, 3, 8]",10,100,elevation_func_1,10.0,100.0
0.0029211044311523438,0.0,1.9408566132862415,1.9408566132862415,"[5, 6]",10,120,elevation_func_1,10.0,120.0
0.0037190914154052734,2.825568474059841,4.833803039352168,2.0082345652923275,"[2, 5, 0, 6]",10,140,elevation_func_1,10.0,140.0
0.0032799243927001953,0.16134786768003284,2.211308172913171,2.0499603052331383,"[5, 1, 9]",10,160,elevation_func_1,10.0,160.0
0.002798795700073242,0.0,0.7507823809122094,0.7507823809122094,"[6, 8]",10,180,elevation_func_1,10.0,180.0
0.003464937210083008,1.7827783841820874,3.2689233254344527,1.4861449412523653,"[2, 1, 4]",10,200,elevation_func_1,10.0,200.0
0.015407085418701172,0.0,0.9346250338321438,0.9346250338321438,"[9, 15]",20,20,elevation_func_1,20.0,20.0
0.014610052108764648,1.8511000377501927,3.593488803010266,1.7423887652600734,"[6, 16, 18]",20,40,elevation_func_1,20.0,40.0
0.014511823654174805,0.0,5.661588650670471,5.661588650670471,"[16, 17]",20,60,elevation_func_1,20.0,60.0
0.014527082443237305,2.417402912737029,3.897449687042881,1.480046774305852,"[6, 15, 12]",20,80,elevation_func_1,20.0,80.0
0.014809131622314453,1.3823596185799412,3.0488670772815016,1.6665074587015605,"[12, 0, 19]",20,100,elevation_func_1,20.0,100.0
0.014744281768798828,0.7681986947640649,3.4334388040070216,2.6652401092429567,"[2, 15, 6, 17]",20,120,elevation_func_1,20.0,120.0
0.015042781829833984,1.0145792484774665,3.3521337349289038,2.3375544864514373,"[2, 6, 3]",20,140,elevation_func_1,20.0,140.0
0.015902996063232422,0.998245813830585,2.1673563541221696,1.1691105402915847,"[1, 5, 18]",20,160,elevation_func_1,20.0,160.0
0.01493215560913086,0.0,2.6294871037041254,2.6294871037041254,"[2, 18]",20,180,elevation_func_1,20.0,180.0
0.01500082015991211,1.3545612763671353,2.1987873004602108,0.8442260240930755,"[2, 10, 18]",20,200,elevation_func_1,20.0,200.0
0.03275799751281738,0.1436419425020008,0.7653915019520086,0.6217495594500078,"[12, 10, 27]",30,20,elevation_func_1,30.0,20.0
0.029118776321411133,0.0,0.43762926478954634,0.43762926478954634,"[2, 6]",30,40,elevation_func_1,30.0,40.0
0.03160977363586426,0.0,1.5769052979688947,1.5769052979688947,"[12, 29]",30,60,elevation_func_1,30.0,60.0
0.029900789260864258,0.0,0.5338549112329671,0.5338549112329671,"[0, 16]",30,80,elevation_func_1,30.0,80.0
0.032423973083496094,1.7896143945938436,1.8138630500667974,0.02424865547295374,"[0, 5, 20]",30,100,elevation_func_1,30.0,100.0
0.031391143798828125,1.6217898426905533,3.400999773090864,1.7792099304003106,"[11, 16, 13]",30,120,elevation_func_1,30.0,120.0
0.029546022415161133,2.0635324097902554,3.2847692126323302,1.221236802842075,"[0, 21, 26]",30,140,elevation_func_1,30.0,140.0
0.028748035430908203,0.46808896513662157,3.427856676905916,2.9597677117692944,"[16, 23, 24]",30,160,elevation_func_1,30.0,160.0
0.030087947845458984,0.0,0.553873320640208,0.553873320640208,"[9, 28]",30,180,elevation_func_1,30.0,180.0
0.03361201286315918,1.68856313381785,2.710585709780088,1.0220225759622381,"[12, 11, 24]",30,200,elevation_func_1,30.0,200.0
0.05560016632080078,0.8738023537519113,1.5866925227977768,0.7128901690458656,"[0, 15, 6, 36]",40,20,elevation_func_1,40.0,20.0
0.0606229305267334,1.3288776078333064,1.8775786587294407,0.5487010508961343,"[9, 1, 25]",40,40,elevation_func_1,40.0,40.0
0.0632469654083252,2.5674580382623056,2.9129118632084614,0.34545382494615584,"[14, 19, 25]",40,60,elevation_func_1,40.0,60.0
0.06149888038635254,0.0,1.1940283972396126,1.1940283972396126,"[4, 15]",40,80,elevation_func_1,40.0,80.0
0.0626528263092041,0.0,1.0297884896509268,1.0297884896509268,"[14, 30]",40,100,elevation_func_1,40.0,100.0
0.06013679504394531,0.24004505932405107,0.32602418192200777,0.0859791225979567,"[23, 28, 35]",40,120,elevation_func_1,40.0,120.0
0.061470985412597656,2.2040348560868894,2.6556848906561448,0.45165003456925534,"[7, 16, 22, 25]",40,140,elevation_func_1,40.0,140.0
0.06370425224304199,0.15314439654706025,1.9663526113890017,1.8132082148419415,"[17, 24, 37]",40,160,elevation_func_1,40.0,160.0
0.0623021125793457,0.6518991755357784,1.3978403729754219,0.7459411974396435,"[16, 14, 37, 24]",40,180,elevation_func_1,40.0,180.0
0.05874204635620117,2.6214492261899034,2.6512777864530497,0.02982856026314651,"[2, 26, 3, 6]",40,200,elevation_func_1,40.0,200.0
0.09587287902832031,1.3931669417532966,2.967578969450997,1.5744120276977003,"[20, 19, 31]",50,20,elevation_func_1,50.0,20.0
0.09805893898010254,0.8651179204472315,1.9133400782430832,1.0482221577958517,"[2, 49, 25]",50,40,elevation_func_1,50.0,40.0
