Convergence Time,Raw Cost,Total Cost,Traffic Cost,Path,Number of Nodes,Number of Connections,Elevation_Function,Num_Nodes,Num_Connections
0.002989053726196289,0.06643755719945577,0.9289539395756863,0.8625163823762305,"[2, 8, 7]",10,10,elevation_func_1,10.0,10.0
0.0035479068756103516,0.0,7.218978556634696,7.218978556634696,"[0, 1]",10,20,elevation_func_1,10.0,20.0
0.004215717315673828,0.0,1.7645128846569758,1.7645128846569758,"[0, 9]",10,30,elevation_func_1,10.0,30.0
0.003834247589111328,0.0,1.025889769495788,1.025889769495788,"[3, 4]",10,40,elevation_func_1,10.0,40.0
0.00356292724609375,3.7993202384223235,5.457172409054008,1.657852170631685,"[0, 8, 1]",10,50,elevation_func_1,10.0,50.0
0.003401041030883789,1.2478914093175608,1.7735219511622413,0.5256305418446805,"[1, 0, 9]",10,60,elevation_func_1,10.0,60.0
0.0035881996154785156,2.9057001660630553,4.473460422873177,1.5677602568101212,"[0, 2, 6]",10,70,elevation_func_1,10.0,70.0
0.0033979415893554688,0.0,3.3484434723559255,3.3484434723559255,"[6, 9]",10,80,elevation_func_1,10.0,80.0
0.003843069076538086,2.370156170876842,2.8341428580268655,0.4639866871500231,"[5, 1, 7]",10,90,elevation_func_1,10.0,90.0
0.0031280517578125,2.3254218017055233,4.269618425268014,1.9441966235624908,"[7, 5, 4, 9]",10,100,elevation_func_1,10.0,100.0
0.015888690948486328,0.06795031274130814,2.03250839325226,1.964558080510952,"[5, 6, 17]",20,10,elevation_func_1,20.0,10.0
0.016026020050048828,0.0,3.096596138461869,3.096596138461869,"[2, 11]",20,20,elevation_func_1,20.0,20.0
0.015212059020996094,0.23115800655641117,1.2818958988573514,1.0507378923009403,"[3, 0, 17]",20,30,elevation_func_1,20.0,30.0
0.01514291763305664,0.0,2.061326617540474,2.061326617540474,"[5, 9]",20,40,elevation_func_1,20.0,40.0
0.0064849853515625,0.0,0.9265007943720271,0.9265007943720271,"[2, 13]",20,50,elevation_func_1,20.0,50.0
0.015927791595458984,0.04780772052985971,2.007861260031861,1.9600535395020013,"[8, 9, 18]",20,60,elevation_func_1,20.0,60.0
0.01807689666748047,0.4263957148673492,2.695905269840937,2.2695095549735878,"[1, 6, 7]",20,70,elevation_func_1,20.0,70.0
0.01723003387451172,1.895644397348929,2.2301873080061685,0.3345429106572395,"[8, 0, 13]",20,80,elevation_func_1,20.0,80.0
0.019063711166381836,4.024206478976261,4.494102226265381,0.46989574728912076,"[2, 5, 9, 14]",20,90,elevation_func_1,20.0,90.0
0.0186617374420166,3.101453679370142,3.22728927174358,0.12583559237343778,"[2, 3, 5, 8]",20,100,elevation_func_1,20.0,100.0
0.03463387489318848,0.5380284974352567,0.676839561606829,0.1388110641715723,"[16, 12, 26]",30,10,elevation_func_1,30.0,10.0
0.03317880630493164,0.0,2.860183917459176,2.860183917459176,"[26, 27]",30,20,elevation_func_1,30.0,20.0
0.03267192840576172,1.1978834247398527,2.889191498633142,1.6913080738932895,"[5, 15, 19]",30,30,elevation_func_1,30.0,30.0
0.032659292221069336,3.068249403988246,3.484981397883965,0.41673199389571924,"[14, 19, 1, 29]",30,40,elevation_func_1,30.0,40.0
0.032572031021118164,1.817757527483003,2.3128286299691316,0.49507110248612873,"[13, 11, 9, 16]",30,50,elevation_func_1,30.0,50.0
0.03389286994934082,0.0,0.5100232725299347,0.5100232725299347,"[22, 28]",30,60,elevation_func_1,30.0,60.0
0.03198695182800293,0.0,0.11348708910926542,0.11348708910926542,"[27, 28]",30,70,elevation_func_1,30.0,70.0
0.034021854400634766,1.234100562742153,1.5275488666619685,0.29344830391981547,"[27, 16, 29]",30,80,elevation_func_1,30.0,80.0
0.03489208221435547,0.2353908049132769,0.4260946653961273,0.19070386048285037,"[8, 24, 12]",30,90,elevation_func_1,30.0,90.0
0.03177499771118164,0.0,0.2840169876924603,0.2840169876924603,"[12, 16]",30,100,elevation_func_1,30.0,100.0
0.060945987701416016,0.3423291024021491,0.7173680488906042,0.37503894648845515,"[5, 39, 34]",40,10,elevation_func_1,40.0,10.0
0.056485652923583984,1.7183856179301515,2.0120095324052767,0.29362391447512515,"[7, 17, 10, 36]",40,20,elevation_func_1,40.0,20.0
0.052644968032836914,0.0,0.8725012426353052,0.8725012426353052,"[30, 34]",40,30,elevation_func_1,40.0,30.0
0.054451942443847656,0.5983433089448065,0.6806193254200243,0.08227601647521787,"[5, 15, 14]",40,40,elevation_func_1,40.0,40.0
0.05577206611633301,0.0,0.988149785101099,0.988149785101099,"[6, 17]",40,50,elevation_func_1,40.0,50.0
0.05485701560974121,0.5067002288637035,1.1470742086296892,0.6403739797659858,"[13, 22, 29]",40,60,elevation_func_1,40.0,60.0
0.0525362491607666,0.0,1.2818610455273494,1.2818610455273494,"[31, 35]",40,70,elevation_func_1,40.0,70.0
0.055606842041015625,0.6956628856092228,2.127509505170355,1.4318466195611323,"[25, 0, 26]",40,80,elevation_func_1,40.0,80.0
0.060562849044799805,1.0120127136922477,2.4707820304484187,1.458769316756171,"[8, 29, 31]",40,90,elevation_func_1,40.0,90.0
0.05605792999267578,1.4418834238576517,2.2653922890474787,0.823508865189827,"[0, 34, 14]",40,100,elevation_func_1,40.0,100.0
0.09496712684631348,1.8161063306880565,2.778129459437484,0.9620231287494274,"[0, 11, 32, 20]",50,10,elevation_func_1,50.0,10.0
0.09063124656677246,0.0,3.234296785588663,3.234296785588663,"[20, 21]",50,20,elevation_func_1,50.0,20.0
