Convergence Time,Raw Cost,Total Cost,Traffic Cost,Path,Number of Nodes,Number of Connections,Norm,Elevation_Function
0.004048824310302734,0.1704136554666691,0.8705888355543512,0.7001751800876821,"[2, 6, 7]",10,10,5.0,elevation_func_2
0.004816770553588867,2.177196820202913,3.060769581310879,0.8835727611079658,"[4, 6, 9]",10,20,5.0,elevation_func_2
0.0019321441650390625,0.0,0.21893010609124852,0.21893010609124852,"[6, 8]",10,30,2.0,elevation_func_2
0.003912925720214844,1.4900348046376686,3.1956209392531907,1.705586134615522,"[5, 7, 6]",10,40,1.0,elevation_func_2
0.0019659996032714844,0.0,0.3635676614862793,0.3635676614862793,"[4, 7]",10,50,3.0,elevation_func_2
0.002665996551513672,0.3041985048534035,0.7184892374723617,0.4142907326189582,"[1, 6, 2]",10,60,1.0,elevation_func_2
0.003823995590209961,0.0,1.91082504765829,1.91082504765829,"[8, 9]",10,70,1.0,elevation_func_2
0.0037288665771484375,3.247237568811024,4.964152114341834,1.71691454553081,"[1, 8, 9]",10,80,8.0,elevation_func_2
0.0014328956604003906,0.0,0.10286418785444895,0.10286418785444895,"[3, 9]",10,90,6.0,elevation_func_2
0.002833127975463867,0.0,0.906016030250284,0.906016030250284,"[2, 4]",10,100,2.0,elevation_func_2
0.016215085983276367,0.45842621254647753,3.98363198357457,3.5252057710280926,"[3, 16, 4]",20,10,1.0,elevation_func_2
0.01126718521118164,0.0,1.3154138190964737,1.3154138190964737,"[2, 10]",20,20,8.0,elevation_func_2
0.01611495018005371,2.182340383410825,3.0090561391192505,0.8267157557084259,"[3, 6, 0, 4]",20,30,1.0,elevation_func_2
0.0070018768310546875,0.0,0.7798701070490455,0.7798701070490455,"[11, 16]",20,40,5.0,elevation_func_2
0.007567167282104492,0.0,0.34994502559472007,0.34994502559472007,"[11, 17]",20,50,6.0,elevation_func_2
0.014484882354736328,0.0,3.053638272878867,3.053638272878867,"[2, 4]",20,60,2.0,elevation_func_2
0.014934062957763672,0.0,4.526088337597958,4.526088337597958,"[5, 14]",20,70,9.0,elevation_func_2
0.009791374206542969,0.0,0.5706884698207448,0.5706884698207448,"[8, 16]",20,80,8.0,elevation_func_2
0.01363992691040039,0.5209852799100589,0.8862484746886745,0.3652631947786156,"[5, 17, 15]",20,90,10.0,elevation_func_2
0.006799221038818359,0.0,0.23208989473649688,0.23208989473649688,"[1, 18]",20,100,17.0,elevation_func_2
0.031210899353027344,0.966279039643112,2.0371751119450043,1.0708960723018923,"[7, 28, 22, 8]",30,10,1.0,elevation_func_2
0.027930259704589844,0.32613872313173475,1.2875259072045053,0.9613871840727706,"[0, 25, 8]",30,20,8.0,elevation_func_2
