Convergence Time,Raw Cost,Total Cost,Traffic Cost,Path,Number of Nodes,Number of Connections,Norm,Elevation_Function
0.003966331481933594,1.8778010213036223,4.131658763052717,2.2538577417490946,"[1, 8, 2]",10,10,1.0,elevation_func_3
0.005064964294433594,1.5031845658366663,2.0095906214509087,0.5064060556142425,"[2, 0, 8]",10,20,6.0,elevation_func_3
0.004882097244262695,0.0,3.559690507991183,3.559690507991183,"[0, 7]",10,30,7.0,elevation_func_3
0.0037488937377929688,2.870175100763017,3.8765079841399586,1.0063328833769414,"[3, 9, 8]",10,40,5.0,elevation_func_3
0.0032129287719726562,0.0,3.5274439695439055,3.5274439695439055,"[4, 6]",10,50,2.0,elevation_func_3
0.003535032272338867,4.1445298319945305,4.24286784580981,0.09833801381528007,"[0, 5, 8]",10,60,8.0,elevation_func_3
0.0041179656982421875,1.7078885668531727,2.488345063844309,0.7804564969911365,"[4, 1, 6]",10,70,2.0,elevation_func_3
0.0024712085723876953,0.14663652015530992,0.8900913821581313,0.7434548620028214,"[2, 6, 7]",10,80,5.0,elevation_func_3
0.0032901763916015625,0.22222411231460293,0.269020172530855,0.046796060216252044,"[2, 0, 9]",10,90,7.0,elevation_func_3
0.002534151077270508,1.8508390771703909,3.0385065080493456,1.1876674308789548,"[3, 0, 6]",10,100,3.0,elevation_func_3
0.01580500602722168,1.3703231319976594,2.227088969310267,0.8567658373126075,"[2, 9, 10]",20,10,8.0,elevation_func_3
0.011080026626586914,0.38307391467687135,0.8256569549568082,0.4425830402799369,"[2, 5, 3]",20,20,1.0,elevation_func_3
0.015940189361572266,1.79285251296729,2.0731817124167318,0.2803291994494417,"[2, 12, 18, 9]",20,30,7.0,elevation_func_3
0.013681888580322266,0.9305302740801178,3.1438888483155436,2.213358574235426,"[5, 7, 10]",20,40,5.0,elevation_func_3
0.016350984573364258,1.9155289086248783,3.5856556249774685,1.6701267163525901,"[13, 12, 18]",20,50,5.0,elevation_func_3
0.015733957290649414,1.0071825866045658,1.7495369640153546,0.7423543774107888,"[1, 11, 10, 5]",20,60,4.0,elevation_func_3
0.013672113418579102,0.6714389216888672,1.8573538956517677,1.1859149739629005,"[0, 11, 19]",20,70,19.0,elevation_func_3
0.014172077178955078,1.0634557830790403,2.0515290488941917,0.9880732658151514,"[3, 10, 9]",20,80,6.0,elevation_func_3
0.013225317001342773,0.5495375898015109,0.7562512930644472,0.20671370326293625,"[12, 9, 14, 13]",20,90,1.0,elevation_func_3
0.015124797821044922,1.6940236763553718,1.8360067219019383,0.1419830455465665,"[3, 16, 5, 7]",20,100,4.0,elevation_func_3
0.024325847625732422,0.16426976028426465,0.6889874014267894,0.5247176411425247,"[2, 17, 22]",30,10,20.0,elevation_func_3
0.023955821990966797,0.8395486797746832,1.07236308302037,0.23281440324568692,"[3, 0, 17, 8]",30,20,5.0,elevation_func_3
0.031767845153808594,1.376649200698573,1.9240118894235547,0.5473626887249816,"[0, 4, 18]",30,30,18.0,elevation_func_3
0.030759096145629883,2.1596039004714846,4.353286030285782,2.193682129814297,"[3, 1, 25, 22]",30,40,19.0,elevation_func_3
0.03131389617919922,0.23203029471522196,2.4174711417049033,2.1854408469896813,"[3, 6, 22]",30,50,19.0,elevation_func_3
