Convergence Time,Raw Cost,Total Cost,Traffic Cost,Path,Number of Nodes,Number of Connections,Norm,Elevation_Function
0.004123210906982422,0.0,0.6532996347905895,0.6532996347905895,"[5, 6]",10,10,1.0,elevation_func_5
0.004239082336425781,3.858688440540317,5.143863155543364,1.2851747150030468,"[0, 7, 9]",10,20,9.0,elevation_func_5
0.004378080368041992,0.21547895262941985,2.3845116781724487,2.169032725543029,"[4, 3, 7]",10,30,3.0,elevation_func_5
0.003874063491821289,0.0,1.8813182134670314,1.8813182134670314,"[0, 4]",10,40,4.0,elevation_func_5
0.0036668777465820312,0.0,1.4326125807312773,1.4326125807312773,"[1, 7]",10,50,6.0,elevation_func_5
0.003545999526977539,0.0,1.4871378684288838,1.4871378684288838,"[8, 9]",10,60,1.0,elevation_func_5
0.0038118362426757812,6.143895697315185,8.038896357436386,1.895000660121201,"[6, 2, 1, 8]",10,70,2.0,elevation_func_5
0.0036242008209228516,4.101110539080979,5.66178072132652,1.5606701822455404,"[7, 3, 9]",10,80,2.0,elevation_func_5
0.003955841064453125,5.510361274779809,5.732017207858215,0.22165593307840625,"[0, 5, 7, 3]",10,90,3.0,elevation_func_5
0.003551006317138672,0.0,2.17794176453894,2.17794176453894,"[6, 9]",10,100,3.0,elevation_func_5
0.017564058303833008,0.0,2.175735856644901,2.175735856644901,"[0, 15]",20,10,15.0,elevation_func_5
0.015469074249267578,0.26327490020291444,2.650350348215992,2.3870754480130776,"[1, 2, 13]",20,20,12.0,elevation_func_5
0.014490127563476562,1.544698193814452,3.8778697781455804,2.3331715843311285,"[14, 12, 16]",20,30,2.0,elevation_func_5
0.014086008071899414,0.5106504637401055,1.490498628271849,0.9798481645317436,"[8, 10, 14]",20,40,6.0,elevation_func_5
0.013717889785766602,3.9965508829187666,4.567999987033598,0.5714491041148317,"[3, 9, 4, 6]",20,50,3.0,elevation_func_5
0.014456987380981445,4.001587269213742,5.466416936443757,1.4648296672300154,"[4, 16, 17]",20,60,13.0,elevation_func_5
0.014740943908691406,5.626415677624629,11.17696706876858,5.550551391143951,"[5, 2, 15]",20,70,10.0,elevation_func_5
0.014073848724365234,0.47670908871513706,1.631107194192477,1.15439810547734,"[6, 0, 9]",20,80,3.0,elevation_func_5
0.01516103744506836,0.2561064485020059,2.103399355009883,1.847292906507877,"[3, 12, 14]",20,90,11.0,elevation_func_5
0.014750003814697266,0.0,3.3441181024255817,3.3441181024255817,"[4, 5]",20,100,1.0,elevation_func_5
0.029367923736572266,1.5908473637531828,2.478559606821622,0.8877122430684392,"[9, 17, 6, 18]",30,10,9.0,elevation_func_5
0.029356002807617188,0.8382812193928368,0.9380323296637783,0.09975111027094141,"[13, 26, 1, 11, 27]",30,20,14.0,elevation_func_5
0.030782222747802734,1.4182319969511212,4.39864583310255,2.9804138361514285,"[23, 18, 26, 25]",30,30,2.0,elevation_func_5
0.029502153396606445,0.6605269932906321,2.4019561430318115,1.7414291497411793,"[4, 18, 17]",30,40,13.0,elevation_func_5
0.028834104537963867,2.42504698855861,5.157040879104148,2.731993890545538,"[1, 2, 22]",30,50,21.0,elevation_func_5
0.030184268951416016,2.0593409683966124,8.180132303697357,6.120791335300745,"[1, 7, 14]",30,60,13.0,elevation_func_5
0.028992891311645508,0.6672555899379029,3.7320166995007167,3.064761109562814,"[15, 23, 26]",30,70,11.0,elevation_func_5
0.028847217559814453,0.0,1.5958961783981818,1.5958961783981818,"[0, 28]",30,80,28.0,elevation_func_5
0.030473947525024414,0.8688229644227385,1.1374479702279483,0.26862500580520976,"[17, 13, 18]",30,90,1.0,elevation_func_5
0.03572702407836914,0.0,0.7714705620486273,0.7714705620486273,"[6, 19]",30,100,13.0,elevation_func_5
0.06154322624206543,0.0,1.1892554483106932,1.1892554483106932,"[0, 32]",40,10,32.0,elevation_func_5
0.05675101280212402,2.9293433923843697,3.2404828804472654,0.31113948806289593,"[30, 28, 37, 31]",40,20,1.0,elevation_func_5
