Convergence Time,Raw Cost,Total Cost,Traffic Cost,Path,Number of Nodes,Number of Connections,Norm,Elevation_Function
0.0030488967895507812,0.0,0.6534754316363944,0.6534754316363944,"[2, 7]",10,5,5.0,elevation_func_3
0.0047762393951416016,2.323973678822804,7.205746580198178,4.881772901375374,"[1, 0, 2]",10,10,1.0,elevation_func_3
0.003834962844848633,1.3798824907989027,1.989441195165692,0.6095587043667894,"[6, 9, 8]",10,15,2.0,elevation_func_3
0.0035009384155273438,0.0,3.962979158561608,3.962979158561608,"[2, 3]",10,20,1.0,elevation_func_3
0.003653287887573242,3.1208098907697375,3.3424980811218967,0.22168819035215948,"[0, 2, 9, 4]",10,25,4.0,elevation_func_3
0.0007169246673583984,0.0,0.38525308776716005,0.38525308776716005,"[6, 7]",10,30,1.0,elevation_func_3
0.0036220550537109375,0.0,2.980574394459391,2.980574394459391,"[2, 8]",10,35,6.0,elevation_func_3
0.000759124755859375,0.0,0.2122392895684766,0.2122392895684766,"[4, 5]",10,40,1.0,elevation_func_3
0.002624034881591797,0.17507071259427076,0.48923304394471456,0.3141623313504438,"[3, 4, 8]",10,45,5.0,elevation_func_3
0.003598928451538086,0.0,4.715779556469504,4.715779556469504,"[3, 4]",10,50,1.0,elevation_func_3
0.00787496566772461,0.0,1.962503112431454,1.962503112431454,"[0, 4]",20,5,4.0,elevation_func_3
0.012373924255371094,0.0,2.481604585261824,2.481604585261824,"[0, 4]",20,10,4.0,elevation_func_3
0.008281946182250977,0.0,0.4495511706468258,0.4495511706468258,"[0, 13]",20,15,13.0,elevation_func_3
0.015128135681152344,1.0993341240295718,1.5370676784654735,0.4377335544359018,"[4, 5, 11]",20,20,7.0,elevation_func_3
0.014202117919921875,0.9632830489214628,1.5781101571096312,0.6148271081881684,"[13, 4, 16]",20,25,3.0,elevation_func_3
0.012714862823486328,1.5608567090434597,3.820965596112954,2.260108887069494,"[6, 12, 18]",20,30,12.0,elevation_func_3
0.014053106307983398,0.0,2.2313115199018285,2.2313115199018285,"[9, 19]",20,35,10.0,elevation_func_3
0.01098489761352539,0.0,1.1390967097595328,1.1390967097595328,"[5, 15]",20,40,10.0,elevation_func_3
0.012717008590698242,1.6788320082128039,2.047045363406159,0.3682133551933553,"[3, 5, 9]",20,45,6.0,elevation_func_3
0.012514829635620117,0.5634416078289861,0.8782511646952629,0.31480955686627676,"[1, 7, 19]",20,50,18.0,elevation_func_3
0.02874279022216797,1.637900001385093,2.8868995251378693,1.2489995237527762,"[17, 9, 23]",30,5,6.0,elevation_func_3
0.02850508689880371,0.0,1.9458791603816994,1.9458791603816994,"[15, 26]",30,10,11.0,elevation_func_3
0.02674102783203125,1.2838289456742902,1.706427076562792,0.42259813088850184,"[8, 11, 16]",30,15,8.0,elevation_func_3
0.029768943786621094,0.8828552716561022,1.4804764100754875,0.5976211384193852,"[2, 22, 9]",30,20,7.0,elevation_func_3
0.031028032302856445,2.347340730497951,2.9927730609681857,0.6454323304702347,"[9, 16, 1, 10]",30,25,1.0,elevation_func_3
