Convergence Time,Raw Cost,Total Cost,Traffic Cost,Path,Number of Nodes,Number of Connections,Norm,Elevation_Function
0.005516767501831055,0.4587352817480972,3.9927168726948215,3.5339815909467243,"[1, 5, 6]",10,5,5.0,elevation_func_4
0.004987955093383789,1.5561407705917862,3.361298251396714,1.8051574808049276,"[0, 6, 1]",10,10,1.0,elevation_func_4
0.003968954086303711,3.049748381251897,3.724425168818274,0.6746767875663773,"[6, 5, 9]",10,15,3.0,elevation_func_4
0.0033249855041503906,0.0,2.834035978388717,2.834035978388717,"[3, 4]",10,20,1.0,elevation_func_4
0.004472017288208008,0.0,6.553785949892229,6.553785949892229,"[1, 4]",10,25,3.0,elevation_func_4
0.002424001693725586,0.0,2.7376786732583422,2.7376786732583422,"[4, 8]",10,30,4.0,elevation_func_4
0.0043792724609375,0.0,4.060021783451241,4.060021783451241,"[1, 8]",10,35,7.0,elevation_func_4
0.004405975341796875,1.873029360376782,2.5746192803820787,0.7015899200052966,"[5, 9, 3, 6]",10,40,1.0,elevation_func_4
0.0030400753021240234,0.0,0.5166305267452476,0.5166305267452476,"[0, 7]",10,45,7.0,elevation_func_4
0.0029549598693847656,0.0,2.1571621324758175,2.1571621324758175,"[5, 7]",10,50,2.0,elevation_func_4
0.018329143524169922,0.788172713748565,2.7512526987250108,1.9630799849764458,"[10, 9, 13]",20,5,3.0,elevation_func_4
0.017379045486450195,0.0,6.56970597691368,6.56970597691368,"[15, 16]",20,10,1.0,elevation_func_4
0.016440868377685547,1.1259087516212665,2.6135010209972966,1.4875922693760302,"[7, 16, 4, 18]",20,15,11.0,elevation_func_4
0.01619720458984375,0.5438192563504118,2.3021717610698067,1.7583525047193949,"[4, 16, 8]",20,20,4.0,elevation_func_4
0.0173642635345459,0.3984434568713435,0.44930009634592816,0.05085663947458463,"[2, 4, 17]",20,25,15.0,elevation_func_4
0.018400192260742188,2.396166077301525,5.879195099670341,3.4830290223688154,"[10, 13, 16]",20,30,6.0,elevation_func_4
0.013359785079956055,0.2351319021235465,2.0804228234598,1.8452909213362534,"[3, 1, 4]",20,35,1.0,elevation_func_4
0.015727996826171875,1.065636407633046,3.3855051694414264,2.3198687618083804,"[12, 13, 17]",20,40,5.0,elevation_func_4
0.01386117935180664,0.2395384557322755,0.2650463872637765,0.025507931531500994,"[4, 10, 13]",20,45,9.0,elevation_func_4
0.01714324951171875,0.0,1.3935401078251541,1.3935401078251541,"[0, 11]",20,50,11.0,elevation_func_4
0.03514218330383301,1.4059598109934424,3.6913435525832883,2.285383741589846,"[9, 24, 21]",30,5,12.0,elevation_func_4
0.035266876220703125,0.0803579992796033,1.7371336380538738,1.6567756387742705,"[26, 1, 27]",30,10,1.0,elevation_func_4
0.033928871154785156,0.37837601492633266,0.723902835045459,0.3455268201191264,"[17, 22, 24]",30,15,7.0,elevation_func_4
0.033083200454711914,0.0,0.8800005587041415,0.8800005587041415,"[1, 11]",30,20,10.0,elevation_func_4
0.033965110778808594,0.43861242107611775,0.7373041531480717,0.298691732071954,"[20, 10, 28]",30,25,8.0,elevation_func_4
0.033783912658691406,1.2698707841877768,3.0055188843981586,1.7356481002103819,"[7, 1, 16]",30,30,9.0,elevation_func_4
0.03478193283081055,2.0128880431114595,2.116340583993216,0.1034525408817566,"[12, 9, 7, 17]",30,35,5.0,elevation_func_4
0.031455039978027344,0.6416275514253622,0.7271229584632355,0.08549540703787328,"[12, 13, 29]",30,40,17.0,elevation_func_4
0.035324811935424805,1.7312621934108985,1.9832585607729825,0.251996367362084,"[17, 6, 26]",30,45,9.0,elevation_func_4
0.038179636001586914,1.5569104925509358,2.562074438552051,1.0051639460011152,"[10, 1, 26]",30,50,16.0,elevation_func_4
0.07055878639221191,1.8291909992804387,2.3336135787000343,0.5044225794195956,"[15, 0, 7, 36]",40,5,21.0,elevation_func_4
0.0656888484954834,0.9682865318673572,1.4156489137447337,0.4473623818773764,"[0, 30, 24]",40,10,24.0,elevation_func_4
0.07300424575805664,0.7067093174638484,2.3173685682242784,1.61065925076043,"[20, 8, 25, 27]",40,15,7.0,elevation_func_4
0.062467098236083984,1.0794038434192998,1.1507044656993137,0.07130062228001388,"[32, 9, 24, 36, 33]",40,20,1.0,elevation_func_4
0.05970287322998047,0.9300334780205843,1.1131391630509035,0.1831056850303192,"[6, 30, 13]",40,25,7.0,elevation_func_4
0.05779314041137695,0.0,1.413091920537528,1.413091920537528,"[3, 24]",40,30,21.0,elevation_func_4
0.064453125,1.5457998089846259,1.6739763706544963,0.12817656166987046,"[27, 17, 32]",40,35,5.0,elevation_func_4
0.07596516609191895,1.9494572144166344,2.556095244762777,0.6066380303461427,"[1, 33, 5]",40,40,4.0,elevation_func_4
0.06337404251098633,0.0,4.236603903482416,4.236603903482416,"[10, 37]",40,45,27.0,elevation_func_4
0.05297207832336426,0.5366726841159586,0.5998231599774406,0.06315047586148204,"[19, 2, 23]",40,50,4.0,elevation_func_4
0.10007190704345703,0.11832555494363017,0.8774977381453963,0.7591721832017662,"[15, 35, 39]",50,5,24.0,elevation_func_4
0.13151812553405762,0.0,1.8479005064231713,1.8479005064231713,"[30, 37]",50,10,7.0,elevation_func_4
0.09637188911437988,0.7356429539088627,1.0470675775883365,0.31142462367947377,"[6, 25, 10]",50,15,4.0,elevation_func_4
0.09592223167419434,0.3449964878897138,1.4636607343479902,1.1186642464582763,"[11, 0, 28]",50,20,17.0,elevation_func_4
0.09610223770141602,0.865177497143065,2.4267243323438583,1.5615468352007933,"[17, 7, 46]",50,25,29.0,elevation_func_4
0.09410309791564941,0.0,3.359852006298917,3.359852006298917,"[5, 18]",50,30,13.0,elevation_func_4
0.09022784233093262,0.36313225049349973,0.8067374865495969,0.44360523605609714,"[10, 47, 42]",50,35,32.0,elevation_func_4
0.10872387886047363,0.7929563933820949,0.9177465462827861,0.12479015290069118,"[46, 42, 3, 48]",50,40,2.0,elevation_func_4
0.10368680953979492,1.488538285859674,1.5727237839858,0.08418549812612586,"[32, 31, 33, 48]",50,45,16.0,elevation_func_4
0.09790897369384766,1.2376274492145678,1.5728458160025005,0.3352183667879327,"[13, 20, 27]",50,50,14.0,elevation_func_4
0.17394185066223145,1.3391326351409893,1.3980938915171803,0.058961256376190985,"[7, 16, 30, 20]",60,5,13.0,elevation_func_4
0.14189887046813965,0.0,1.0882160349150016,1.0882160349150016,"[30, 38]",60,10,8.0,elevation_func_4
0.16328692436218262,0.0,0.24806303783921124,0.24806303783921124,"[29, 50]",60,15,21.0,elevation_func_4
0.15864086151123047,1.8705843578013315,2.223820960967071,0.3532366031657397,"[11, 40, 30, 19]",60,20,8.0,elevation_func_4
0.15698504447937012,0.45320325343586854,2.0397510977206155,1.586547844284747,"[21, 29, 42]",60,25,21.0,elevation_func_4
0.1749110221862793,0.0,1.5353453099136605,1.5353453099136605,"[26, 45]",60,30,19.0,elevation_func_4
0.15786194801330566,0.2540269014047767,2.034024919613545,1.7799980182087682,"[20, 19, 22]",60,35,2.0,elevation_func_4
0.14835000038146973,0.3714955004789433,0.601541814881188,0.23004631440224466,"[32, 2, 3, 51]",60,40,19.0,elevation_func_4
