Convergence Time,Raw Cost,Total Cost,Traffic Cost,Path,Number of Nodes,Number of Connections,Norm,Elevation_Function
0.004744768142700195,3.236755156603806,4.982891672219309,1.7461365156155029,"[1, 3, 4, 9]",10,5,8.0,elevation_func_5
0.004580974578857422,0.39152138647438006,4.096103935237984,3.704582548763604,"[6, 0, 7]",10,10,1.0,elevation_func_5
0.0046749114990234375,0.0,5.081143733757938,5.081143733757938,"[0, 3]",10,15,3.0,elevation_func_5
0.003590106964111328,2.8512066361362196,3.55802759371759,0.70682095758137,"[0, 3, 9, 2]",10,20,2.0,elevation_func_5
0.003535032272338867,0.0,3.087453385228925,3.087453385228925,"[5, 8]",10,25,3.0,elevation_func_5
0.003643035888671875,2.4686221140296283,2.6400704187834267,0.17144830475379846,"[1, 7, 2, 9]",10,30,8.0,elevation_func_5
0.0037839412689208984,0.09224498954978344,1.9371788939570955,1.844933904407312,"[4, 5, 9]",10,35,5.0,elevation_func_5
0.0037682056427001953,2.3394177258070243,10.081180537180087,7.7417628113730625,"[0, 2, 9]",10,40,9.0,elevation_func_5
0.0035982131958007812,0.0,4.99454445475093,4.99454445475093,"[1, 2]",10,45,1.0,elevation_func_5
0.003648042678833008,0.0,4.49050133779134,4.49050133779134,"[2, 9]",10,50,7.0,elevation_func_5
0.015185117721557617,0.858792153030904,0.8599363307819263,0.0011441777510223794,"[7, 11, 5, 12]",20,5,5.0,elevation_func_5
0.014257192611694336,0.9640010622319295,1.052622950145593,0.08862188791366354,"[14, 4, 16]",20,10,2.0,elevation_func_5
0.013913154602050781,0.0,7.040855189421363,7.040855189421363,"[5, 17]",20,15,12.0,elevation_func_5
0.014000177383422852,0.0,6.873152446507641,6.873152446507641,"[10, 13]",20,20,3.0,elevation_func_5
0.013716936111450195,4.939291126818012,7.145104675947445,2.2058135491294326,"[5, 16, 7]",20,25,2.0,elevation_func_5
0.014711856842041016,0.0,2.6023010492705447,2.6023010492705447,"[2, 19]",20,30,17.0,elevation_func_5
0.014519929885864258,2.7199550797587078,4.024546271547622,1.3045911917889141,"[0, 19, 8, 12, 4]",20,35,4.0,elevation_func_5
0.013295888900756836,1.800013924106415,2.232635738930291,0.43262181482387585,"[7, 17, 12]",20,40,5.0,elevation_func_5
0.013415098190307617,1.6180875229332172,5.338617567269094,3.720530044335877,"[11, 4, 13]",20,45,2.0,elevation_func_5
0.015011072158813477,1.762868446655036,3.3859123440300953,1.6230438973750594,"[0, 14, 10]",20,50,10.0,elevation_func_5
0.028789043426513672,0.0,0.06895601571340726,0.06895601571340726,"[19, 20]",30,5,1.0,elevation_func_5
